Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
Developer of an experiential self-learning application for students,Hyderabad,2018,Series A,50,"High Tech > Augmented Reality,
EdTech > K-12 EdTech,
High Tech > Virtual Reality",India,2016-2020,23.98,27.5,1.43,Non-AI Firm,7,,,,,,
Standalone pain clinic,Delhi,2018,Seed,124,Healthcare > Clinic Chains,India,2016-2020,5.43,11.7,0.15,AI Firm,7,,,,,,
Online platform offering electric vehicles and fleet management solutions,Hyderabad,2018,Seed,58,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,15.2,19.15,3.32,Non-AI Firm,7,,,,,,
P2P platform for consumer loans,Mumbai,2018,Seed,11,FinTech > Alternative Lending,India,2016-2020,1.47,2.84,0,Non-AI Firm,7,,,,,,
Platform offering electric vehicle charging station network operators,Delhi,2019,Seed,116,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Energy Tech > Energy Storage Tech",India,2016-2020,9.56,14.38,1.46,Non-AI Firm,6,,,,,,
App-based discovery platform for personalized beauty care recommendations,Thane,2019,Series A,56,Retail > Beauty Tech,India,2016-2020,24.81,16.9,0.27,Non-AI Firm,6,,,,,,
Online platform offering multi-category groceries,Gurugram,2019,Seed,1,Food and Agriculture Tech > Online Grocery,India,2016-2020,4.8,17.61,0,Non-AI Firm,6,,,,,,
Online platform providing live courses on multiple government exams,India,2019,Seed,28,EdTech > Test Preparation Tech,India,2016-2020,1.34,5.04,1.15,Non-AI Firm,6,,,,,,
Cloud based contract management software,Bengaluru,2019,Seed,58,Enterprise Applications > Legal Tech,India,2016-2020,1.99,5.58,1.09,Non-AI Firm,6,,,,,,
Offers smart cold storage containers,Chennai,2019,Series A,28,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,4.6,16.41,1.55,AI Firm,6,,,,,,
Platform offers drone?based last?mile delivery services,Gurugram,2019,Series A,72,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,7.18,14.81,0.2,Non-AI Firm,6,,,,,,
Provider of insurance technology solutions for digital distribution and analytics,Bengaluru,2019,Seed,34,"FinTech > Insurance IT,
InsurTech > Insurance IT",India,2016-2020,4.98,19.2,2.73,Non-AI Firm,6,,,,,,
Usage-based health insurance platform for individuals and businesses,Delhi,2019,Series A,1,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
HealthTech > Employee Health IT,
Enterprise Applications > HRTech,
FinTech > Employer Insurance,
InsurTech > Employer Insurance",India,2016-2020,3.87,12.58,0.16,Non-AI Firm,6,,,,,,
Provider of digital signage solutions,Hyderabad,2019,Seed,21,Enterprise Applications > Tech for Traditional Advertising,India,2016-2020,10.9,5.06,0.97,Non-AI Firm,6,,,,,,
Provider of a web-based end-to-end trade management software,Surat,2019,Seed,49,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,3.99,3.92,0.13,Non-AI Firm,6,,,,,,
Provider of open banking and payment infrastructure for digital finance solutions,Bengaluru,2019,Seed,101,"FinTech > Banking Tech,
FinTech > RegTech",India,2016-2020,1.2,6.79,1.44,Non-AI Firm,6,,,,,,
Provider of cloud-based energy storage marketplace,Delhi,2019,Seed,3,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,1.06,3.41,0.38,Non-AI Firm,6,,,,,,
Internet first brand offering protein-infused water,Mumbai,2019,Seed,20,"Life Sciences > Nutraceuticals Tech,
Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,1.09,9.26,0.89,Non-AI Firm,6,,,,,,
Provider of AI-powered talent acquisition and IT staffing solutions,Bengaluru,2019,Seed,170,Enterprise Applications > HRTech,India,2016-2020,1.26,30.63,2.75,AI Firm,6,,,,,,
"Platform offering out-of-school activities for kids, focusing on personalized learning experiences and extracurricular development",Mumbai,2019,Seed,33,EdTech > K-12 EdTech,India,2016-2020,6.39,19.3,0.9,Non-AI Firm,6,,,,,,
Blockchain technology company offering digital credentials management solutions,Bengaluru,2019,Seed,18,"Enterprise Applications > Digital Transaction Management,
Enterprise Applications > Enterprise Information Management",India,2016-2020,1.51,5.89,0.07,AI Firm,6,,,,,,
Online platform offering data-driven financial insights and analytics solutions leveraging AI,Pune,2019,Seed,59,"Enterprise Applications > Big Data Analytics,
FinTech > Banking Tech",India,2016-2020,5.78,17.09,0.78,AI Firm,6,,,,,,
Provider of molecular diagnostic test lab,Mumbai,2019,Series A,66,Healthcare > Clinical Laboratory Chains,India,2016-2020,9.89,21.44,3.23,Non-AI Firm,6,,,,,,
Financial advisory firm,Mumbai,2019,Seed,1,FinTech > Investment Tech,India,2016-2020,1.09,3.66,0.99,Non-AI Firm,6,,,,,,
AI-based content marketing and creation software solution provider,Delhi,2019,Series A,1,Enterprise Applications > MarketingTech,India,2016-2020,4.62,17.58,0.1,AI Firm,6,,,,,,
Provider of solution for accelerating the net zero journey,Mumbai,2019,Seed,43,"Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
Real Estate and Construction Tech > Property Management Tech,
Real Estate and Construction Tech > Facility Management Tech,
High Tech > Smart Homes,
Internet of Things - Industry Applications > Smart Homes",India,2016-2020,1.12,3.97,0.03,Non-AI Firm,6,,,,,,
Online platform offering mutual fund investment solution,Gurugram,2019,Seed,89,FinTech > Investment Tech,India,2016-2020,3.15,10.33,0.59,Non-AI Firm,6,,,,,,
Platform offering pet play and relaxation solutions,Gurugram,2019,Seed,9,"Retail > Pet Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services,
HealthTech > Veterinary HealthTech",India,2016-2020,1.3,2.95,0.11,Non-AI Firm,6,,,,,,
Provider of an app-based lending platform for personal loans,Mumbai,2019,Series B,29,FinTech > Alternative Lending,India,2016-2020,18.48,32.05,3.42,Non-AI Firm,6,,,,,,
Provider of employee healthcare financing solutions,Mumbai,2019,Seed,13,"Enterprise Applications > HRTech,
HealthTech > Employee Health IT",India,2016-2020,6.2,18.05,1.27,Non-AI Firm,6,,,,,,
AI-based platform offering study planning tools for students,Gurugram,2019,Series A,16,EdTech > K-12 EdTech,India,2016-2020,8.4,16.25,0.16,AI Firm,6,,,,,,
Internet first brand offering menstrual underwear products and accessories,Bengaluru,2019,Seed,1,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2016-2020,1.34,3.44,1.01,Non-AI Firm,6,,,,,,
Online retail platform offering multi-category furniture,Mumbai,2019,Seed,62,"Retail > Contract Manufacturers,
Consumer Goods > Contract Manufacturers",India,2016-2020,1.25,3.29,1.86,AI Firm,6,,,,,,
Online platform for leadership training and coaching for enterprises,Bengaluru,2019,Seed,5,Enterprise Applications > HRTech,India,2016-2020,3.31,16.57,0.13,AI Firm,6,,,,,,
Online marketplace for diversified local services,Noida,2019,Seed,74,Retail > Consumer Electronics E-Commerce,India,2016-2020,2.26,4.22,0.44,Non-AI Firm,6,,,,,,
App-based platform offering stories,Gurugram,2019,Seed,54,Media & Entertainment > Digital Publishing Platforms,India,2016-2020,1.06,2,0.03,Non-AI Firm,6,,,,,,
Mobile app for practising yoga and mindfulness exercises,Gurugram,2019,Seed,49,Healthcare > Fitness and Wellness Centers,India,2016-2020,8.47,22.15,0.01,Non-AI Firm,6,,,,,,
Provider of an AI-powered human translation platform for enterprises,Noida,2019,Seed,52,"Enterprise Applications > Localisation - L10n Tech,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,1.66,8.24,1.25,AI Firm,6,,,,,,
Internet-first bank,Bengaluru,2019,Seed,17,FinTech > Banking Tech,India,2016-2020,2.17,7.46,0,Non-AI Firm,6,,,,,,
Provider of an online learning platform for medical professionals,Mumbai,2019,Series A,96,"EdTech > Continued Learning,
HealthTech > Healthcare IT",India,2016-2020,7,37.08,1.7,Non-AI Firm,6,,,,,,
AI-enabled platform for building and scaling AI-driven use cases,Mumbai,2019,Seed,33,"High Tech > Native AI Infrastructure,
Native AI > Native AI Infrastructure",India,2016-2020,1.85,15.73,0.45,AI Firm,6,,,,,,
Provider of a platform offering integrated risk assessment solutions,Bengaluru,2019,Seed,24,"Enterprise Applications > GRC Software,
Enterprise Infrastructure > Cybersecurity,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,1,7.74,0.19,Non-AI Firm,6,,,,,,
Online marketplace for business loans,India,2019,Seed,122,FinTech > Alternative Lending,India,2016-2020,4.4,22.43,1.46,Non-AI Firm,6,,,,,,
Platform offering electric vehicle-based urban mobility solutions,Mumbai,2019,Series A,21,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,6.26,39.79,1.84,Non-AI Firm,6,,,,,,
Provides financial advisory services,Mumbai,2019,Series A,29,FinTech > Investment Tech,India,2016-2020,1.02,6.27,0.16,Non-AI Firm,6,,,,,,
Cloud operating system for accessing desktop applications,Bengaluru,2019,Seed,1,"Enterprise Infrastructure > Operating Systems,
Enterprise Infrastructure > Cloud Infrastructure",India,2016-2020,1.21,5.47,0.02,Non-AI Firm,6,,,,,,
Platform offering various financial solutions through APIs,Gurugram,2019,Series A,24,FinTech > Banking Tech,India,2016-2020,4.24,13.03,0.06,Non-AI Firm,6,,,,,,
Online brand offering natural home care products,Sonipat,2019,Seed,24,"Retail > Home Care E-Commerce,
Consumer Goods > Home Care Products",India,2016-2020,1.01,4.57,1.22,Non-AI Firm,6,,,,,,
Provider of cloud-based campus management systems for higher education,Bengaluru,2019,Seed,19,"Enterprise Applications > Enterprise Resource Planning,
EdTech > Higher Education Tech,
EdTech > K-12 EdTech",India,2016-2020,1.7,12.05,0.5,Non-AI Firm,6,,,,,,
Provider of software-defined robotics system for warehouse operations,Pune,2019,Series A,97,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
High Tech > Professional Service Robots,
Enterprise Applications > SCM Software",India,2016-2020,14.03,25.35,0.72,Non-AI Firm,6,,,,,,
Platform offering beauty products,Mumbai,2019,Seed,2,Retail > Beauty Tech,India,2016-2020,2,5.22,0.37,Non-AI Firm,6,,,,,,
Alternative investment platform focused on gold investments,Mumbai,2019,Seed,15,FinTech > Investment Tech,India,2016-2020,2.03,11.83,1.25,Non-AI Firm,6,,,,,,
ML-based IoT systems for the agriculture industry,Bengaluru,2019,Series A,75,"Food and Agriculture Tech > Crop Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,6.52,14.59,0.84,AI Firm,6,,,,,,
"Provider of a digital insurance broking company that offers various insurance products and solutions, including health, life, and fertility insurance, as well as corporate and personal insurance plans",Gurugram,2019,Seed,23,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,1.17,6.87,0.71,Non-AI Firm,6,,,,,,
Developer of a platform for digital justice and legal operations,Chandigarh,2019,Seed,73,Enterprise Applications > Legal Tech,India,2016-2020,4,20.04,0.34,Non-AI Firm,6,,,,,,
Provider of software suite solutions for restaurant management,Bengaluru,2019,Seed,25,Food and Agriculture Tech > Food Tech,India,2016-2020,10.13,6.5,2.06,Non-AI Firm,6,,,,,,
Cloud based influencer marketing platform,Delhi,2019,Seed,11,Enterprise Applications > MarketingTech,India,2016-2020,1.31,3.09,0.43,Non-AI Firm,6,,,,,,
Manufacturer of automotive electrical and electronic systems,Dharwad,2019,Seed,49,"Auto > Auto Components,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,4.02,8.3,0.72,Non-AI Firm,6,,,,,,
Online platform offering a B2B marketplace for building materials,Gurugram,2019,Seed,1,"Real Estate and Construction Tech > Construction Tech,
Retail > B2B E-Commerce",India,2016-2020,6.03,16.2,3.42,Non-AI Firm,6,,,,,,
Provider of space?based RF SIGINT ELINT and geospatial intelligence,Delhi,2019,Seed,97,"Aerospace, Maritime and Defense Tech > NewSpace,
High Tech > Geographic Information Systems,
Enterprise Applications > Data as a Service",India,2016-2020,1.87,10.09,0,Non-AI Firm,6,,,,,,
SaaS-based social platform for women professionals,Gurugram,2019,Series A,2,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,2.59,7.25,0.49,Non-AI Firm,6,,,,,,
AI based platform offering connectomics for functional brain mapping,Bengaluru,2019,Seed,41,"HealthTech > Healthcare IT,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,6.65,20.17,0,AI Firm,6,,,,,,
AI-based robotic vision solutions for industrial robotics,"Bengaluru,
Prilly",2019,Series A,40,"High Tech > Industrial Robotics,
High Tech > Computer Vision,
High Tech > Security & Surveillance Technology,
High Tech > Image Recognition","India,
Switzerland",2016-2020,15.28,24.37,0.37,AI Firm,6,,,,,,
Manufacturer of natural nutrition bars for mothers during pregnancy and postpartum,Mumbai,2019,Seed,1,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery,
Retail > Mom & Baby Care",India,2016-2020,1.17,4.03,0.38,Non-AI Firm,6,,,,,,
Provider of supply chain traceability solutions for food businesses,Bengaluru,2019,Seed,24,"Food and Agriculture Tech > Crop Tech,
Food and Agriculture Tech > Food Tech,
Enterprise Applications > SCM Software,
Enterprise Applications > GRC Software",India,2016-2020,1.19,4.76,0.27,AI Firm,6,,,,,,
Provider of makeup and skincare products for diverse skin tones,Mumbai,2019,Seed,26,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,1.59,7.86,0.87,Non-AI Firm,6,,,,,,
"Platform offering education planning, investment options, loans, and immigration services",Ahmedabad,2019,Series A,42,FinTech > Investment Tech,India,2016-2020,12,22.34,1.07,Non-AI Firm,6,,,,,,
Career guidance platform for IT professionals,Delhi,2019,Seed,1,Enterprise Applications > HRTech,India,2016-2020,1.3,1.5,0.06,Non-AI Firm,6,,,,,,
App-based B2B marketplace platform offering products,Mumbai,2019,Seed,15,Retail > B2B E-Commerce,India,2016-2020,6.46,23.48,0.21,Non-AI Firm,6,,,,,,
Provider of online game development courses and mentorship,Delhi,2019,Seed,17,"EdTech > Continued Learning,
Gaming > Gaming Tech",India,2016-2020,1.82,7.78,0.23,Non-AI Firm,6,,,,,,
"Digital gifting platform that enables users to send personalized gift messages that can be redeemed for physical products, catering to both individual and corporate clients.",Bengaluru,2019,Seed,11,"Consumer > Online Gifting,
Retail > Online Gifting",India,2016-2020,2.87,3.62,0,Non-AI Firm,6,,,,,,
Provider of corporate training and development platforms,Bengaluru,2019,Series A,125,Enterprise Applications > HRTech,India,2016-2020,7.5,5.35,0.45,AI Firm,6,,,,,,
Provider of live sports streaming and casual sports venue services,Mumbai,2019,Seed,21,"Media & Entertainment > OTT Video,
Consumer > Sports Tech",India,2016-2020,1.63,4.02,0.48,Non-AI Firm,6,,,,,,
It offers career upskilling programs and placement assistance,Mumbai,2019,Seed,4,EdTech > Continued Learning,India,2016-2020,6.5,29.05,0.67,Non-AI Firm,6,,,,,,
Chain of multispecialty hospitals,Delhi,2019,Series B,63,Healthcare > Hospital Chains,India,2016-2020,9.16,35.17,1.56,AI Firm,6,,,,,,
Platform for procuring fruits and vegetables directly from farmers,Bengaluru,2019,Seed,24,"Food and Agriculture Tech > Crop Tech,
Food and Agriculture Tech > Online Grocery,
Retail > B2B E-Commerce",India,2016-2020,1.96,1.18,2.58,Non-AI Firm,6,,,,,,
Social networking platform to discover and connect with people at restaurants,Jaipur,2019,Seed,9,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.46,0.98,0,Non-AI Firm,6,,,,,,
Deep tech startup that leverages artificial intelligence to transform human experiences,Bengaluru,2019,Series A,38,"High Tech > Computer Vision,
High Tech > Edge Computing,
Internet of Things - Industry Applications > Edge Computing,
High Tech > Native AI Infrastructure,
Native AI > Native AI Infrastructure,
High Tech > Security & Surveillance Technology,
Enterprise Applications > Big Data Analytics",India,2016-2020,10.7,19,0.74,Non-AI Firm,6,,,,,,
Provider of safe and hygienic transportation services for children,Bengaluru,2019,Series A,3,EdTech > K-12 EdTech,India,2016-2020,2.93,10.53,0.03,Non-AI Firm,6,,,,,,
AI and NLP-powered dashboard creation platform,Delhi,2019,Seed,11,"Enterprise Applications > Business Intelligence,
High Tech > Natural Language Processing,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,1.68,19.91,0.21,AI Firm,6,,,,,,
Online platform offering solutions for creation of memes,Mumbai,2019,Series A,11,"Consumer > Online Photos,
Media & Entertainment > Online Photos,
Consumer > Communication Apps,
Mobile > Communication Apps,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.64,14.03,1.35,Non-AI Firm,6,,,,,,
Cashflow management platform designed to help small and medium-sized enterprises,Noida,2019,Series A,117,"FinTech > Finance & Accounting Tech,
FinTech > Payments",India,2016-2020,12.91,30.35,1.28,Non-AI Firm,6,,,,,,
Provider of AI-powered solutions for ophthalmic disease detection and medical data analysis,Delhi,2019,Seed,30,"HealthTech > Healthcare IT,
High Tech > Generative AI,
Native AI > Generative AI","India,
India",2016-2020,1.16,11.62,1.01,AI Firm,6,,,,,,
Cloud-based suite solutions for applicant tracking,"Gurugram,
Prayagraj",2019,Seed,44,Enterprise Applications > HRTech,"India,
India",2016-2020,2.4,3.42,0.25,Non-AI Firm,6,,,,,,
Software-based accounting and compliance solution for SMEs,Mumbai,2019,Seed,1,FinTech > Finance & Accounting Tech,India,2016-2020,2.45,5.78,0,Non-AI Firm,6,,,,,,
Learning network and recruitment services for growth leaders,Bengaluru,2019,Seed,35,"EdTech > Continued Learning,
Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.5,9.06,0.75,Non-AI Firm,6,,,,,,
Developer of unmanned aerial vehicles,Bengaluru,2019,Seed,26,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Energy Tech > Renewable Energy Tech,
Environment Tech > Renewable Energy Tech,
Sustainability Tech > Renewable Energy Tech,
High Tech > Security & Surveillance Technology",India,2016-2020,1.07,3.59,0.04,Non-AI Firm,6,,,,,,
Deep-tech company developing electric powertrain and turbocharger products,Bengaluru,2019,Seed,48,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Energy Tech > Energy Storage Tech",India,2016-2020,3.6,8.87,0.03,AI Firm,6,,,,,,
Insurance processing and distribution management solution for the insurance industry,Mumbai,2019,Series A,24,"FinTech > Insurance IT,
InsurTech > Insurance IT",India,2016-2020,5.99,17.47,0.25,Non-AI Firm,6,,,,,,
Fintech company that provides a cross-border payments and investing platform,Mumbai,2019,Seed,2,"FinTech > Investment Tech,
FinTech > Payments",India,2016-2020,2.81,16.69,0.26,Non-AI Firm,6,,,,,,
Internet first brand offering skin care products,Gurugram,2019,Seed,39,"Consumer Goods > Beauty & Personal Care Products,
Retail > Beauty Tech",India,2016-2020,2.02,6.46,1.38,Non-AI Firm,6,,,,,,
Online brand offering multi-category fashion products,Bengaluru,2019,Series A,1,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,9.49,10.7,3.09,Non-AI Firm,6,,,,,,
Intelligent robots for commercial & industrial applications,Pune,2019,Series A,95,High Tech > Professional Service Robots,India,2016-2020,7.31,27.95,0.76,Non-AI Firm,6,,,,,,
Chain of cancer treatment center,Hyderabad,2019,Series A,108,Healthcare > Hospital Chains,India,2016-2020,10.87,22.04,0.72,AI Firm,6,,,,,,
Internet first brand offering multi-category healthy snacks,Bengaluru,2019,Seed,25,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,3.02,6.35,1.54,Non-AI Firm,6,,,,,,
Provider of precision drones for agriculture management,Hyderabad,2019,Series A,131,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Food and Agriculture Tech > Crop Tech",India,2016-2020,6.35,20.58,2.93,Non-AI Firm,6,,,,,,
Manufacturer of sustainable bamboo-based alternatives to plastic products,Kolkata,2019,Seed,72,"High Tech > Advanced Materials,
Chemicals and Materials Tech > Advanced Materials",India,2016-2020,4.02,24.21,2.75,AI Firm,6,,,,,,
End-to-end management platform for sports academies,Bengaluru,2019,Seed,21,Consumer > Sports Tech,India,2016-2020,2.23,6.61,0.61,Non-AI Firm,6,,,,,,
Platform offering electric two-wheeler rental services,Mumbai,2019,Seed,51,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,7.28,32.39,0.62,Non-AI Firm,6,,,,,,
ERP software for real estate developers and construction industry,Mumbai,2019,Seed,42,"Real Estate and Construction Tech > Construction Tech,
Enterprise Applications > Enterprise Resource Planning",India,2016-2020,1.16,24.96,1.82,Non-AI Firm,6,,,,,,
Online learning platform,Gurugram,2019,Series A,25,"EdTech > Continued Learning,
Retail > Beauty Tech",India,2016-2020,10.88,23.09,0.82,Non-AI Firm,6,,,,,,
Platform offering CRM software for enterprises,Secunderabad,2019,Seed,51,Enterprise Applications > Sales Force Automation,India,2016-2020,2.01,8.4,0.47,Non-AI Firm,6,,,,,,
Provider of the electric car rental and charging station solutions,Delhi,2019,Series A,25,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,2.99,40.78,1.13,Non-AI Firm,6,,,,,,
App based intercity bus ticket booking platform,Gurugram,2019,Series A,132,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,16.41,10.38,0,Non-AI Firm,6,,,,,,
Mobile-based social platform for tracking politics,Bengaluru,2019,Series A,23,"Consumer > Social Platforms,
Media & Entertainment > Social Platforms",India,2016-2020,1.11,6.1,0.01,Non-AI Firm,6,,,,,,
App-based insurance premium payments platform for policyholders,Hyderabad,2019,Seed,6,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms",India,2016-2020,1,19.74,0.01,Non-AI Firm,6,,,,,,
"Platform offering AI-powered tools for e-commerce messaging, marketing, and customer support",Bengaluru,2019,Series B,56,"Retail > E-Commerce Enablers,
High Tech > Chatbots,
Enterprise Applications > MarketingTech,
Enterprise Applications > Sales Force Automation",India,2016-2020,5.68,18.52,1.73,AI Firm,6,,,,,,
Platform offering claims processing for healthcare sector,Delhi,2019,Series A,71,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
FinTech > Insurance IT,
InsurTech > Insurance IT,
HealthTech > Healthcare Payer Tech",India,2016-2020,12.83,35.77,0.68,AI Firm,6,,,,,,
Manufacturer of gallium nitride (GaN) semiconductors for radio-frequency applications,Bengaluru,2019,Seed,18,"Semiconductors > Photonics,
High Tech > Advanced Materials,
Chemicals and Materials Tech > Advanced Materials",India,2016-2020,4.87,13.09,0.06,Non-AI Firm,6,,,,,,
Provider of autonomous mobile robot solutions for factories and warehouses,Bengaluru,2019,Seed,78,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
High Tech > Professional Service Robots,
Enterprise Applications > SCM Software",India,2016-2020,2.35,14.89,0.24,Non-AI Firm,6,,,,,,
Provides an integrated match-back optimization solution to decarbonize the supply chain,Mumbai,2019,Seed,35,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,4.57,12.49,3.22,AI Firm,6,,,,,,
Developer of warehouse robots for picking solutions,Bengaluru,2019,Seed,22,"High Tech > Professional Service Robots,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Enterprise Applications > SCM Software",India,2016-2020,2.29,13.4,0.01,Non-AI Firm,6,,,,,,
Internet first brand offering performance casual wear for men,Gurugram,2019,Seed,42,"Consumer Goods > Apparel Brands,
Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,3.16,6.55,0.82,Non-AI Firm,6,,,,,,
Internet-first brand offering subscription-based personal hygiene products,Delhi,2019,Seed,1,Retail > Beauty Tech,India,2016-2020,1.4,7.5,0.01,Non-AI Firm,6,,,,,,
Digital wealth platform to empower financial advisors,Mumbai,2019,Series A,37,FinTech > Investment Tech,India,2016-2020,5.31,22.6,0.58,Non-AI Firm,6,,,,,,
Platform offering on demand courier services,Gurugram,2019,Seed,64,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,6.07,30.2,0.5,Non-AI Firm,6,,,,,,
Manufacturer of motors for electric vehicles,Bengaluru,2019,Seed,73,"Energy Tech > Energy Efficiency Tech,
Environment Tech > Energy Efficiency Tech,
Sustainability Tech > Energy Efficiency Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,5.66,17.14,0.28,Non-AI Firm,6,,,,,,
Chain of dialysis clinics,Mumbai,2019,Seed,22,Healthcare > Clinic Chains,India,2016-2020,1.32,7.26,0.82,AI Firm,6,,,,,,
Provider of an app-based platform for taxation services,Gurugram,2019,Seed,26,FinTech > Finance & Accounting Tech,India,2016-2020,1.52,2.91,0.58,Non-AI Firm,6,,,,,,
Online marketplace offering diversified loans to consumers and businesses,Chennai,2019,Seed,10,FinTech > Alternative Lending,India,2016-2020,2.29,6.29,0.24,Non-AI Firm,6,,,,,,
Provider of advanced swappable battery packs and a network of swap stations for electric vehicles,Hyderabad,2019,Seed,32,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,5.26,15.46,1.09,Non-AI Firm,6,,,,,,
Online platform providing multi-disciplinary tutoring solutions,Mumbai,2019,Seed,28,EdTech > Continued Learning,India,2016-2020,7.45,10.26,0.42,Non-AI Firm,6,,,,,,
Multi account payments card for consumers,Gurugram,2019,Seed,11,FinTech > Payments,India,2016-2020,1.26,6.41,0.2,Non-AI Firm,6,,,,,,
Provider of cloud based whatsapp marketing and customer engagement platform,Bengaluru,2019,Seed,51,"Enterprise Applications > Customer Service Software,
Retail > E-Commerce Enablers,
High Tech > Chatbots,
Retail > Social Commerce,
Enterprise Applications > MarketingTech,
Enterprise Applications > Customer Success Management,
Retail > Brands Tech",India,2016-2020,1.91,9.16,1.13,Non-AI Firm,6,,,,,,
Online brand offering low-calorie frozen desserts and ice cream products,Mumbai,2019,Seed,68,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,9.09,9.38,2.79,Non-AI Firm,6,,,,,,
E learning and training company offering LMS solutions for enterprises,Mumbai,2019,Seed,5,Enterprise Applications > HRTech,India,2016-2020,1.55,9.5,0.13,AI Firm,6,,,,,,
Developer of electric vehicle charging stations,Noida,2019,Series A,19,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Energy Tech > Energy Storage Tech",India,2016-2020,2.33,13.73,0.14,Non-AI Firm,6,,,,,,
"Provider of a digital lending platform that provides joint liability loans to blue-collar workers, leveraging a distribution channel and mobile app to facilitate access to credit",Gurugram,2019,Series A,152,FinTech > Alternative Lending,India,2016-2020,4.03,20.83,0.03,Non-AI Firm,6,,,,,,
